Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
271275,RO254678,Concierge Services,58725.6 USD,05-01-2018
967001,DE763212,Various paper supplies,37772.4 EUR,16-01-2018
579353,DE325476,Various paper supplies,324924 USD,20-01-2018
554068,FR453231,IT Support,111997 USD,27-01-2018
473393,FR065748,Concierge Services,286082 EUR,09-01-2018
509172,RO874232,IT Support,27656.4 EUR,24-01-2018
934077,FR453231,Waste management services,43477.2 EUR,20-01-2018
311182,FR065748,Beverages and Catering,298727 USD,16-01-2018
630485,RO874231,Waste management services,268751 CAD,06-01-2018
452360,DE767565,Beverages and Catering,75943.2 USD,11-01-2018
987587,IT231232,Beverages and Catering,191245 EUR,05-01-2018
806655,FR065748,Concierge Services,156120 CAD,20-01-2018
609483,IT231232,IT Support,335014 EUR,19-01-2018
124041,DE767565,Waste management services,349738 CAD,19-01-2018
183776,RO874232,Professional Services,50137.2 EUR,22-01-2018
523252,IT213456,Professional Services,219300 CAD,24-01-2018
734221,RO345879,Concierge Services,86984.4 USD,09-01-2018
367139,RO125678,Concierge Services,357070 EUR,27-02-2018
995676,FR121212,Various paper supplies,337583 USD,17-02-2018
952254,RO892123,Professional Services,15711.6 EUR,14-02-2018
705978,FR453231,Various paper supplies,104689 EUR,03-02-2018
682612,RO892123,Beverages and Catering,33872.4 CAD,04-02-2018
832586,RO874231,Beverages and Catering,162095 CAD,07-02-2018
504180,RO657483,Professional Services,175824 CAD,25-02-2018
297295,IT145632,Professional Services,286952 CAD,03-02-2018
829655,RO125678,Professional Services,45704.4 EUR,25-02-2018
845196,IT231232,Professional Services,182164 USD,10-02-2018
868900,IT213456,Concierge Services,7387.2 RON,19-02-2018
867834,FR065748,Professional Services,350753 USD,27-03-2018
196650,RO874232,Professional Services,277224 RON,15-03-2018
746818,FR065748,IT Support,58893.6 RON,05-03-2018
120313,FR121212,Various paper supplies,113502 USD,05-03-2018
693418,FR065748,Various paper supplies,315359 CAD,0000-00-00
532048,FR322345,IT Support,323551 RON,13-03-2018
300463,IT231232,Beverages and Catering,221802 USD,21-03-2018
551939,RO125678,Various paper supplies,102911 EUR,09-03-2018
107209,FR453231,IT Support,302930 CAD,09-03-2018
712453,FR453231,Professional Services,337499 EUR,23-03-2018
582394,RO657483,Beverages and Catering,73988.4 EUR,04-03-2018
602728,FR121212,IT Support,101358 RON,17-03-2018
205848,FR453231,IT Support,89401.2 RON,09-03-2018
588923,DE456232,Beverages and Catering,334208 RON,25-03-2018
174719,FR322345,Professional Services,62526 RON,01-04-2018
923905,RO874232,Concierge Services,302707 CAD,27-04-2018
214365,IT213456,Various paper supplies,353482 USD,13-04-2018
628153,IT231232,Concierge Services,174857 EUR,15-04-2018
398031,FR322345,Beverages and Catering,340250 USD,01-04-2018
251835,RU567434,Concierge Services,142508 EUR,17-04-2018
707538,RO874232,Beverages and Catering,77773.2 CAD,19-04-2018
591662,IT145632,Concierge Services,41522.4 CAD,05-04-2018
